city;tid;link_A;link_B
Liberec;A015;https://www.google.cz/maps/place/50%C2%B046'35.0%22N+15%C2%B004'07.8%22E/@50.776388,15.0666563,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.776388!4d15.068845;https://www.google.cz/maps/place/50%C2%B046'39.2%22N+15%C2%B004'20.6%22E/@50.777548,15.0701973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.777548!4d15.072386
Liberec;A016;https://www.google.cz/maps/place/50%C2%B045'40.6%22N+15%C2%B002'17.8%22E/@50.761273,15.0360973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.761273!4d15.038286;https://www.google.cz/maps/place/50%C2%B045'35.2%22N+15%C2%B002'23.5%22E/@50.75978,15.0387637,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.75978!4d15.039858
Liberec;A017;https://www.google.cz/maps/place/50%C2%B045'52.3%22N+15%C2%B004'57.1%22E/@50.764527,15.0803253,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.764527!4d15.082514;https://www.google.cz/maps/place/50%C2%B045'55.2%22N+15%C2%B004'44.3%22E/@50.765341,15.0767843,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.765341!4d15.078973
Liberec;A018;https://www.google.cz/maps/place/50%C2%B045'03.5%22N+15%C2%B002'08.5%22E/@50.750976,15.0334963,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.750976!4d15.035685;https://www.google.cz/maps/place/50%C2%B045'04.5%22N+15%C2%B002'18.8%22E/@50.751254,15.0363713,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.751254!4d15.03856
Liberec;A019;https://www.google.cz/maps/place/50%C2%B045'13.0%22N+15%C2%B002'17.1%22E/@50.753605,15.0358993,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.753605!4d15.038088;https://www.google.cz/maps/place/50%C2%B045'14.0%22N+15%C2%B002'05.6%22E/@50.75389,15.0327023,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.75389!4d15.034891
Liberec;A020;https://www.google.cz/maps/place/50%C2%B045'10.6%22N+15%C2%B003'52.4%22E/@50.752942,15.0623613,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.752942!4d15.06455;https://www.google.cz/maps/place/50%C2%B045'17.0%22N+15%C2%B003'57.9%22E/@50.754707,15.0639063,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.754707!4d15.066095
Liberec;A021;https://www.google.cz/maps/place/50%C2%B044'47.9%22N+15%C2%B005'04.5%22E/@50.746645,15.0823913,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.746645!4d15.08458;https://www.google.cz/maps/place/50%C2%B044'53.1%22N+15%C2%B004'59.7%22E/@50.748071,15.0821447,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.748071!4d15.083239
Liberec;A022;https://www.google.cz/maps/place/50%C2%B044'11.3%22N+15%C2%B003'58.0%22E/@50.736478,15.0639343,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.736478!4d15.066123;https://www.google.cz/maps/place/50%C2%B044'08.3%22N+15%C2%B004'05.1%22E/@50.73565,15.0658873,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.73565!4d15.068076
Liberec;A023;https://www.google.cz/maps/place/50%C2%B044'07.0%22N+15%C2%B003'01.3%22E/@50.735264,15.0481803,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.735264!4d15.050369;https://www.google.cz/maps/place/50%C2%B044'06.2%22N+15%C2%B003'16.7%22E/@50.735067,15.0524503,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.735067!4d15.054639
Liberec;A024;https://www.google.cz/maps/place/50%C2%B044'02.2%22N+15%C2%B003'53.8%22E/@50.733941,15.0627583,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.733941!4d15.064947;https://www.google.cz/maps/place/50%C2%B043'55.8%22N+15%C2%B004'03.1%22E/@50.732162,15.0653443,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d50.732162!4d15.067533
;;;
